fileIndex,dateIndex,parentFolder,file,uniqueFile,pntsPerLine,numLines,delx,delt,Total Dur (s),Line Length (um),meanInt,minInt,maxInt,rangeInt,signMeanVel,posNegVel,minVel,maxVel,rangeVel,meanVel,medianVel,stdVel,meanVelNoZero,nTotal,nNonNan,nNanTan,nNanOutliers,nNanFinal,percentNanFinal,percentGoodFinal,nZero,Surgery Type,Genotype,Sex,Age,Order,Direction,Depth,declanFile
0,0,20221102,Capillary1_0001.tif,20221102/Capillary1_0001.tif,38,30000,0.284,0.00116996666666667,35.099,10.792,209.771670175439,105,400,295,-1,0,0,1.62422436965339,1.62422436965339,1.22345162433302,1.24879911724172,0.144279178393909,1.22465133639611,7497,7124,16,357,373,4.98,95.02,1,craniotomy,wt,female,old,,,,Capillary1_0001.tif
1,1,20221102,Capillary2.tif,20221102/Capillary2.tif,25,30000,0.331,0.00114596666666667,34.379,8.275,152.226554666667,102,258,156,-1,0,1.13730674324793,1.82365841184221,0.686351668594273,1.48094184364932,1.48594843883141,0.130302699244601,1.48019883359091,7497,7377,10,110,120,1.6,98.4,0,craniotomy,wt,female,old,,,,Capillary2.tif
2,2,20221102,Capillary3.tif,20221102/Capillary3.tif,42,30000,0.331,0.00117796666666667,35.339,13.902,171.4336,104,358,254,-1,0,1.35092436001269,2.5657257633986,1.21480140338591,1.96612246526358,1.93797271712878,0.270700537353368,1.95946894475638,7497,7433,0,64,64,0.85,99.15,0,craniotomy,wt,female,old,,,,Capillary3.tif
3,3,20221102,Capillary4_0002.tif,20221102/Capillary4_0002.tif,40,30000,0.398,0.00117396666666667,35.219,15.92,198.6004725,105,562,457,-1,0,0,1.52922739242241,1.52922739242241,0.646788854233592,0.839107783576779,0.427561632977302,0.912362658886485,7497,7444,8,45,53,0.71,99.29,2083,craniotomy,wt,female,old,,,,Capillary4_0002.tif
4,4,20221102,Capillary5_0001.tif,20221102/Capillary5_0001.tif,42,30000,0.398,0.00117796666666667,35.339,16.716,197.579637301587,114,311,197,-1,0,0,1.66068578485498,1.66068578485498,0.699162738153814,0.692736859233617,0.414723623719882,0.84404961053968,7497,7438,1,58,59,0.79,99.21,927,craniotomy,wt,female,old,,,,Capillary5_0001.tif
5,5,20221102,Capillary6_0001.tif,20221102/Capillary6_0001.tif,30,30000,0.398,0.00115396666666667,34.619,11.94,227.05258,122,368,246,1,0,1.04593400592164,2.11774890641778,1.07181490049614,1.59382001744969,1.58850069920456,0.195337002368949,1.58949001725673,7497,7293,1,203,204,2.72,97.28,0,craniotomy,wt,female,old,,,,Capillary6_0001.tif
6,6,20221102,Capillary7_0001.tif,20221102/Capillary7_0001.tif,35,30000,0.398,0.00116596666666667,34.979,13.93,186.919394285714,113,283,170,1,0,1.478539178906,2.4288148456293,0.950275666723308,1.97069185786335,1.93587881089326,0.214354480720555,1.97069185786335,7497,7191,3,303,306,4.08,95.92,0,craniotomy,wt,female,old,,,,Capillary7_0001.tif
7,0,20221202,Capillary 1.tif,20221202/Capillary 1.tif,33,30000,0.497,0.00116196666666667,34.859,16.401,14.0547363636364,0,88,88,-1,0,0,1.26003165947898,1.26003165947898,0.976699116867256,0.972074718861609,0.116226717185116,0.976699116867256,7497,7198,0,299,299,3.99,96.01,1,thinned skull,wt,female,young,,,,Capillary 1.tif
8,1,20221202,Capillary 2.tif,20221202/Capillary 2.tif,31,30000,0.497,0.00115796666666667,34.739,15.407,17.6198150537634,0,117,117,-1,0,1.30159180625252,2.2606647340574,0.959072927804882,1.80982217395945,1.82274982197589,0.199716121024058,1.80982217395945,7497,7216,4,277,281,3.75,96.25,0,thinned skull,wt,female,young,,,,Capillary 2.tif
9,2,20221202,Capillary10.tif,20221202/Capillary10.tif,23,30000,0.497,0.00114196666666667,34.259,11.431,19.7069826086957,0,92,92,-1,0,0.954990192115086,1.54315281267888,0.588162620563791,1.2484856292025,1.22900671719279,0.129786720401147,1.2484856292025,7497,7274,0,223,223,2.97,97.03,0,thinned skull,wt,female,young,,,,Capillary10.tif
10,3,20221202,Capillary3.tif,20221202/Capillary3.tif,36,30000,0.497,0.00116596666666667,34.979,17.892,20.7223722222222,0,106,106,-1,0,0.883719640373499,1.5634880007953,0.679768360421798,1.23525483555985,1.23793659584741,0.142425365340722,1.23525483555985,7497,7168,29,300,329,4.39,95.61,0,thinned skull,wt,female,young,,,,Capillary3.tif
11,4,20221202,Capillary4.tif,20221202/Capillary4.tif,39,30000,0.497,0.00117396666666667,35.219,19.383,28.0285094017094,0,129,129,1,0,0.755947661991574,1.3029405019814,0.546992839989829,1.02524245923167,1.02205980337269,0.109415175102159,1.02524245923167,7497,7312,0,185,185,2.47,97.53,0,thinned skull,wt,female,young,,,,Capillary4.tif
12,5,20221202,Capillary5.tif,20221202/Capillary5.tif,29,30000,0.497,0.00115396666666667,34.619,14.413,25.2554632183908,0,114,114,-1,0,0.810006978777948,1.453979503476,0.643972524698047,1.12948011302367,1.12198151173011,0.12245893055191,1.12948011302367,7497,7372,8,117,125,1.67,98.33,0,thinned skull,wt,female,young,,,,Capillary5.tif
13,6,20221202,Capillary6.tif,20221202/Capillary6.tif,21,30000,0.497,0.00113796666666667,34.139,10.437,29.0033111111111,0,89,89,1,0,1.45114110357847,2.68170811345051,1.23056700987205,2.04546142979628,2.05471850178165,0.189240435378963,2.04546142979628,7497,7036,12,449,461,6.15,93.85,0,thinned skull,wt,female,young,,,,Capillary6.tif
14,7,20221202,Capillary7.tif,20221202/Capillary7.tif,31,30000,0.497,0.00115796666666667,34.739,15.407,32.9290774193548,0,140,140,-1,0,0.743397263618756,1.34082232561863,0.597425061999877,1.04315534297069,1.03618193428086,0.117394943653813,1.04315534297069,7497,7178,0,319,319,4.26,95.74,0,thinned skull,wt,female,young,,,,Capillary7.tif
15,8,20221202,Capillary8.tif,20221202/Capillary8.tif,26,30000,0.497,0.00114596666666667,34.379,12.922,27.8051820512821,0,149,149,1,0,0.815661642232578,3.08590018792718,2.2702385456946,2.08445433851868,2.08506906014243,0.327658535051786,2.08445433851868,7497,6000,1346,151,1497,19.97,80.03,0,thinned skull,wt,female,young,,,,Capillary8.tif
16,9,20221202,Capillary9.tif,20221202/Capillary9.tif,30,30000,0.497,0.00115396666666667,34.619,14.91,18.1224888888889,0,85,85,1,0,0.745974104995868,1.2871917962534,0.541217691257535,1.01180836110516,1.00245428572181,0.112139719699308,1.01180836110516,7497,7331,0,166,166,2.21,97.79,0,thinned skull,wt,female,young,,,,Capillary9.tif
17,0,20221206,20221206_A3_0006.tif,20221206/20221206_A3_0006.tif,24,30000,0.497,0.00114196666666667,34.259,11.928,14.661,0,102,102,1,0,0.94405237130774,1.59634685133304,0.652294480025303,1.27992783552488,1.2820994079739,0.135275246682905,1.27992783552488,7497,7361,17,119,136,1.81,98.19,0,craniotomy,wt,female,young,,,134,20221206_A3_0006.tif
18,1,20221206,20221206_A3_0007.tif,20221206/20221206_A3_0007.tif,23,30000,0.497,0.00114196666666667,34.259,11.431,13.9114,0,85,85,1,0,0.62735853891061,1.46925819290801,0.841899653997398,1.04075985321264,1.03786783853374,0.151106308691242,1.04075985321264,7497,7344,39,114,153,2.04,97.96,0,craniotomy,wt,female,young,,,62,20221206_A3_0007.tif
19,2,20221206,20221206_A3_0008.tif,20221206/20221206_A3_0008.tif,18,30000,0.497,0.00112996666666667,33.899,8.946,17.5714259259259,0,101,101,1,0,0.417388763377057,0.83599069787446,0.418601934497403,0.629175639717538,0.628150882932385,0.082858634409993,0.629175639717538,7497,7241,50,206,256,3.41,96.59,0,craniotomy,wt,female,young,,,121,20221206_A3_0008.tif
20,3,20221206,20221206_A3_0009.tif,20221206/20221206_A3_0009.tif,22,30000,0.497,0.00113796666666667,34.139,10.934,14.6695606060606,0,98,98,-1,0,0.584871012593354,1.12308507553864,0.53821406294529,0.850493468001651,0.838977225845517,0.104358473635334,0.850493468001651,7497,7310,23,164,187,2.49,97.51,0,craniotomy,wt,female,young,,,210,20221206_A3_0009.tif
21,4,20221206,20221206_A3_0010.tif,20221206/20221206_A3_0010.tif,23,30000,0.497,0.00114196666666667,34.259,11.431,16.1592927536232,0,92,92,-1,0,0.922785940948558,1.56933136155827,0.646545420609709,1.24363463336636,1.22900671719279,0.141206914982382,1.24363463336636,7497,7291,2,204,206,2.75,97.25,0,craniotomy,wt,female,young,,,248,20221206_A3_0010.tif
22,5,20221206,20221206_A3_0011.tif,20221206/20221206_A3_0011.tif,21,30000,0.497,0.00113796666666667,34.139,10.437,23.1508984126984,0,103,103,1,0,1.26839638495991,2.19565985610581,0.927263471145899,1.74487171625031,1.75168410671137,0.213326028866975,1.74487171625031,7497,7352,1,144,145,1.93,98.07,0,craniotomy,wt,female,young,,,254,20221206_A3_0011.tif
23,6,20221206,20221206_A3_0012.tif,20221206/20221206_A3_0012.tif,20,30000,0.497,0.00113396666666667,34.019,9.94,15.008105,0,95,95,1,0,0.517722546824002,1.47962363475809,0.961901087934087,0.990148632222839,0.972955485187338,0.160468223286889,0.990148632222839,7497,7247,109,141,250,3.33,96.67,0,craniotomy,wt,female,young,,,332,20221206_A3_0012.tif
24,7,20221206,20221206_A3_0013.tif,20221206/20221206_A3_0013.tif,21,30000,0.497,0.00113796666666667,34.139,10.437,17.4724301587302,0,115,115,-1,0,0.726863911709371,2.09972726847993,1.37286335677056,1.52311696998617,1.49840043925341,0.196941509619149,1.52311696998617,7497,6818,540,139,679,9.06,90.94,0,craniotomy,wt,female,young,,,333,20221206_A3_0013.tif
25,8,20221206,20221206_A3_0014.tif,20221206/20221206_A3_0014.tif,24,30000,0.497,0.00114196666666667,34.259,11.928,18.3510402777778,0,99,99,-1,0,1.16403299788228,1.84828821815057,0.684255220268292,1.52471525999961,1.54315281267888,0.136363969332977,1.52471525999961,7497,7189,16,292,308,4.11,95.89,0,craniotomy,wt,female,young,,,318,20221206_A3_0014.tif
26,0,20221216,20221216_A4_0001.tif,20221216/20221216_A4_0001.tif,20,30000,0.994,0.00113396666666667,34.019,19.88,11.62476,1,81,80,-1,0,0.115402495019141,1.68387333626151,1.56847084124237,1.17784364245307,1.17386822063697,0.155067915600758,1.18757219040979,7497,6218,0,1279,1279,17.06,82.94,0,craniotomy,wt,female,young,,Away,70.4,20221216_A4_0001.tif
27,1,20221216,20221216_A4_0002.tif,20221216/20221216_A4_0002.tif,20,30000,0.994,0.00113396666666667,34.019,19.88,16.3569,1,94,93,-1,0,0,1.33698988048866,1.33698988048866,0.624859654353855,0.654565100629371,0.298807001698645,0.687566308560992,7497,7364,1,132,133,1.77,98.23,536,craniotomy,wt,female,young,,Away,110,20221216_A4_0002.tif
28,2,20221216,20221216_A4_0003.tif,20221216/20221216_A4_0003.tif,22,30000,0.994,0.00113796666666667,34.139,21.868,11.4742075757576,1,80,79,-1,0,0.181685723662165,0.772796724832544,0.591111001170379,0.498751395879372,0.504308416392824,0.0876932567892972,0.499442263323325,7497,7196,4,297,301,4.01,95.99,0,craniotomy,wt,female,young,,Away,122.8,20221216_A4_0003.tif
29,3,20221216,20221216_A4_0004.tif,20221216/20221216_A4_0004.tif,14,30000,0.994,0.00112196666666667,33.659,13.916,15.1392,1,120,119,1,0,0,0.966838572206116,0.966838572206116,0.524688148721112,0.564408781522905,0.188709116105531,0.592498417978475,7497,7440,4,53,57,0.76,99.24,622,craniotomy,wt,female,young,,Towards,305.4,20221216_A4_0004.tif
